ID#,SERIES,NAME,YEAR,MON,DAY,SITE,LAT,LONG,HOB,TYPE,PUR,YIELD,VENT,DEVIC
  1, Gerboise, Gerboise Bleue    , 1960, FEB,  13, AL-R   ,  26.31170,   -0.05720,  105, AS-T , WE ,    65,     , IP   
  2, Gerboise, Gerboise Blanche  , 1960, APR,   1, AL-R   ,  26.16610,   -0.10250,    0, AS   , WR ,    10,     , IP   
  3, Gerboise, Gerboise Rouge    , 1960, DEC,  27, AL-R   ,  26.35360,   -0.12360,   50, AS-T , WE ,     3,     , IP   
  4, Gerboise, Gerboise Verte    , 1961, APR,  25, AL-R   ,  26.32170,   -0.07330,   50, AS-T ,    ,   0.5,     , FZ   
  5,         , Agate             , 1961, NOV,   7, AL-IE  ,  24.05710,    5.05210,     , UG-T , WR ,    10,     , IP   
  6,         , Beryl             , 1962, MAY,   1, AL-IE  ,  24.06300,    5.04180,     , UG-T , WR ,    40,  V  , IP   
  7,         , Emeraude          , 1963, MAR,  18, AL-IE  ,  24.04130,    5.05210,     , UG-T , WR ,    10,     , IP   
  8,         , Amethyste         , 1963, MAR,  30, AL-IE  ,  24.04330,    5.05700,     , UG-T , WR ,   2.5,  V  , IP   
  9,         , Rubis             , 1963, OCT,  20, AL-IE  ,  24.03550,    5.03860,     , UG-T , WR ,    52,  V  , IP   
 10,         , Opale (Michele)   , 1964, FEB,  14, AL-IE  ,  24.05360,    5.05230, -353, UG-T , WR/,   3.7,     , IP   
 11,         , Topaze            , 1964, JUN,  15, AL-IE  ,  24.06660,    5.03450,     , UG-T , WR ,   2.5,     , IP   
 12,         , Turquoise         , 1964, NOV,  28, AL-IE  ,  24.04180,    5.04160,     , UG-T , WR ,    10,     , IP   
 13,         , Saphir (Monique)  , 1965, FEB,  27, AL-IE  ,  24.05870,    5.03110, -785, UG-T , WR/,   127,     , IP   
 14,         , Jade              , 1965, MAY,  30, AL-IE  ,  24.05500,    5.05080,     , UG-T , WR ,   2.5,  V  , IP   
 15,         , Corindon          , 1965, OCT,   1, AL-IE  ,  24.06490,    5.03400,     , UG-T , WR ,   2.5,     , IP   
 16,         , Tourmaline        , 1965, DEC,   1, AL-IE  ,  24.04370,    5.04690,     , UG-T , WR ,    10,     , IP   
 17,         , Grenat (Georgette), 1966, FEB,  16, AL-IE  ,  24.04410,    5.04120, -403, UG-T , WR/,    13,     , IP   
 18, 1966    , Aldebaran         , 1966, JUL,   2, PMU-L  , -21.87000, -139.00000,   10, AW-BG, WR ,    28,     , IP   
 19, 1966    , Tamoure           , 1966, JUL,  19, PMU    , -21.80000, -138.90000, 1000, A-AD , WR ,    50,     , IP   
 20, 1966    , Ganymede          , 1966, JUL,  21, PMU-CO , -21.79000, -138.91000,   12, AS   , SE ,     0,     , ND   
 21, 1966    , Betelguese        , 1966, SEP,  11, PMU-DE , -21.83000, -138.88000,  470, A-B  , WR ,   110,     , IP   
 22, 1966    , Rigel             , 1966, SEP,  24, PFA-FR , -22.23000, -138.73000,    3, AW-BG, WR ,   125,     , BF   
 23, 1966    , Sirus             , 1966, OCT,   4, PMU-DI , -21.87000, -139.00000,   10, AW-BG, WR ,   205,     , BF   
 24, 1967    , Altair            , 1967, JUN,   5, PMU-DE , -21.78900, -138.89500,  295, A-B  , WR ,    15,     , PR?  
 25, 1967    , Antares           , 1967, JUN,  27, PMU-DI , -21.86500, -139.00000,  340, A-B  , WR ,   120,     , PR?  
 26, 1967    , Arcturus          , 1967, JUL,   2, PMU-DE , -21.79500, -138.89200,    3, AW-BG, WR ,    22,     , PR?  
 27, 1968    , Capella           , 1968, JUL,   7, PMU-DE , -21.83000, -138.88000,  463, A-B  , WR ,   115,     ,      
 28, 1968    , Castor            , 1968, JUL,  15, PMU-DI , -21.83000, -138.88000,  650, A-B  , WR ,   450,     , BF   
 29, 1968    , Pollux            , 1968, AUG,   3, PMU-DE , -21.83000, -138.88000,  490, A-B  , WR ,   150,     , BF   
 30, 1968    , Canopus           , 1968, AUG,  24, PFA-FR , -22.22800, -138.64400,  520, A-B  , WR ,  2600,     , TN   
 31, 1968    , Procyon           , 1968, SEP,   8, PMU-DI , -21.82100, -138.97500,  700, A-B  , WR ,  1280,     , TN   
 32, 1970    , Andromede         , 1970, MAY,  15, PMU-DE , -21.83000, -138.88000,  220, A-B  , WR ,    13,     ,      
 33, 1970    , Cassiopee         , 1970, MAY,  22, PMU-DI , -21.83000, -138.88000,  500, A-B  , WR ,   224,     , TN   
 34, 1970    , Dragon            , 1970, MAY,  30, PFA-FR , -22.30900, -138.60600,  500, A-B  , WR ,   945,     , TN   
 35, 1970    , Eridan            , 1970, JUN,  24, PMU-DE , -21.83000, -138.88000,  220, A-B  , WR ,    12,     ,      
 36, 1970    , Licorne           , 1970, JUL,   3, PMU-DI , -21.93500, -138.91700,  500, A-B  , WR ,   914,     , TN   
 37, 1970    , Pegase            , 1970, JUL,  27, PMU-DE , -21.83000, -138.88000,  220, A-B  , WR ,  0.05,     ,      
 38, 1970    , Orion             , 1970, AUG,   2, PFA-FR , -21.78600, -138.89300,  400, A-B  , WR ,    72,     ,      
 39, 1970    , Toucan            , 1970, AUG,   6, PMU-DI , -21.83000, -138.88000,  500, A-B  , WR ,   594,     , TN?  
 40, 1971    , Dione             , 1971, JUN,   5, PMU-DE , -21.83000, -138.88000,  275, A-B  , WR ,    34,     , IP   
 41, 1971    , Encelade          , 1971, JUN,  12, PMU-DI , -23.80000, -137.20000,  450, A-B  , WR ,   440,     , BF   
 42, 1971    , Japet             , 1971, JUL,   4, PMU-DE , -21.83000, -138.88000,  230, A-B  , WR ,     9,     ,      
 43, 1971    , Phoebe            , 1971, AUG,   8, PMU-DE , -21.83000, -138.88000,  230, A-B  , WR ,     4,     ,      
 44, 1971    , Rhea              , 1971, AUG,  14, PMU-DI , -21.82300, -138.97600,  480, A-B  , WR ,   955,     , TN   
 45, 1972    , Umbriel           , 1972, JUN,  25, PMU-DE , -21.83000, -138.88000,  230, A-B  , WR ,   0.5,     , PR   
 46, 1972    , Titania           , 1972, JUN,  30, PMU-DI , -21.83000, -138.88000,  220, A-B  , WR ,     4,     , PR   
 47, 1972    , Oberon            , 1972, JUL,  27, PMU-DI , -21.83000, -138.88000,  220, A-B  , WR ,     6,     , PR   
 48, 1972    , Ariel             , 1972, JUL,  31, PMU-CO , -21.79000, -138.91000,   10, AS   , SE , 0.001,     , FZ   
 49, 1973    , Euterpe           , 1973, JUL,  21, PMU-DI , -21.83000, -138.88000,  220, A-B  , WR ,    11,     ,      
 50, 1973    , Melpomene         , 1973, JUL,  28, PMU-DE , -21.83000, -138.88000,  270, A-B  , WR ,  0.05,     ,      
 51, 1973    , Pallas            , 1973, AUG,  18, PMU-DE , -21.83000, -138.88000,  270, A-B  , WR ,     4,     ,      
