ID#,NAME,YEAR,MON,DAY,SITE,LAT,LONG,HOB,TYPE,PUR,YIELD,VENT,DEVIC
1, 596,1964,OCT,16,LN,42.35,88.3,102,AS-T,,22,,IU
2,,1965,MAY,14,LN,41.5,88.5,500,A-AD,,35,,IU
3,,1966,MAY,9,LN,41.5,88.5,,A-AD,,250,,BF
4,,1966,OCT,27,LN,41.5,88.5,569,A-R,,12,,IU
5,,1966,DEC,28,LN,41.5,88.5,102,AS-T,,300,,BF
6,,1967,JUN,17,LN-D,40.744,89.775,2960,A-AD,,3300,,TN
7,,1967,DEC,24,LN,41.5,88.5,,A-AD,,20,,BF
8,,1968,DEC,27,LN,41.5,88.5,,A-AD,,3000,,TN
9,,1969,SEP,22,LN-B,41.376,88.318,,UG-T,,19.2,,
10,,1969,SEP,29,LN-D,40.722,89.515,,A-AD,,3000,,TN
11,,1970,OCT,14,LN-D,40.52,89.779,,A-AD,,3400,,TN
12,,1971,NOV,18,LN,41.5,88.5,,AS-T,,20,,PR
13,,1972,JAN,7,LN,41.5,88.5,,A-AD,,8,,IC
14,,1972,MAR,18,LN,41.5,88.5,,A-AD,,170,,PR?
15,,1973,JUN,27,LN-D,40.7985,89.8091,,A-AD,,3000,,TN
16,,1974,JUN,17,LN-D,40.518,89.619,,A,,1000,,TN
17,,1975,OCT,27,LN-B,41.375,88.326,,UG-T,,2.5,,
18,,1976,JAN,23,LN,41.5,88.5,,A,,,,
19,,1976,SEP,26,LN,41.5,88.5,,A,,200,,FZ
20,,1976,OCT,17,LN-A,41.708,88.37,,UG-T,,2.6,,
21,,1976,NOV,17,LN-D,40.696,89.627,,A-AD,,4000,,TN
22,,1977,SEP,17,LN,41.5,88.5,,A,,,,
23,,1978,MAR,15,LN,41.5,88.5,,A,,11,,
24,,1978,OCT,14,LN-C,41.523,88.722,,UG-S,,3.4,,
25,,1978,DEC,14,LN,41.5,88.5,,A,,,,
26,,1979,FEB,2,LN,41.5,88.5,,UG,,1,,
27,,1979,SEP,13,LN,41.5,88.5,,UG,,,,
28,,1980,OCT,16,LN-D,40.719,89.651,,A,,1000,,
29,,1982,OCT,5,LN,41.5,88.5,,UG,,7,,
30,,1983,MAY,4,LN-A,41.679,88.368,,UG-T,,1,,
31,,1983,OCT,6,LN-C,41.538,88.714,,UG-S,,,,
32,,1984,OCT,3,LN-C,41.5713,88.7216,,UG-S,,,,
33,,1984,DEC,19,LN-A,41.737,88.425,,UG-T,,15,,
34,,1987,JUN,5,LN-C,41.518,88.713,,UG-S,,250,,
35,,1988,SEP,29,LN-A,41.768,88.38,,UG-T,,3,,ER?
36,,1990,MAY,26,LN-C,41.569,88.701,,UG-S,,,,
37,,1990,AUG,16,LN-C,41.514,88.739,,UG-S,,189,,
38,,1992,MAY,21,LN-C,41.513,88.774,,UG-S,,660,,
39,,1992,SEP,25,LN-A,41.716,88.336,,UG-T,,8,,PR?
40,,1992,NOV,2,LN,41.5,88.5,,UG,,1,,
41,,1993,OCT,5,LN-C,41.667,88.695,,UG-S,,80,,
42,,1994,JUN,10,LN-C,41.53,88.71,,UG-S,,90,,
43,,1994,OCT,7,LN-C,41.66,88.75,,UG-S,,90,,
44,,1995,MAY,15,LN-C,41.6,88.82,,UG-S?,,95,,
45,,1995,AUG,17,LN-C,41.56,88.8,,UG-S?,,90,,
46,,1996,JUN,8,LN-C,41.66,88.69,,UG-S?,,50,,
47,,1996,JUN,8,LN-C,41.66,88.69,,UG-S?,,,,
48,,1996,JUL,29,LN-A,41.82,88.42,,UG-T?,,3,,
