ID#,NAME,YEAR,MON,DAY,SITE,LAT,LONG,HOB,TYPE,PUR,YIELD,VENT,DEVIC
2001,Chagai Chagai-I,1998,MAY,28,CHA,28.7919,64.9475,,UG-T,,32,,BF?
2002,Chagai Chagai-I,1998,MAY,28,CHA,28.7919,64.9475,,UG-T,,1,,
2003,Chagai Chagai-I,1998,MAY,28,CHA,28.7919,64.9475,,UG-T,,1,,
2004,Chagai Chagai-I,1998,MAY,28,CHA,28.7919,64.9475,,UG-T,,1,,
2005,Chagai Chagai-I,1998,MAY,28,CHA,28.7919,64.9475,,UG-T,,1,,
2006,Chagai Chagai-II,1998,MAY,30,CHA,28.49,63.73,-36,UG-S,,,,
2007,Chagai Chagai-II,1998,MAY,30,CHA,28.49,63.73,,UG-S,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
, ,,,,,,,,,,,,
