ID#,SERIES,NAME,YEAR,MON,DAY,SITE,LAT,LONG,HOB,TYPE,PUR,YIELD,VENT,DEVIC
1,Trinity        ,Trinity                ,1945,JUL,16,NM     ,33.67530,-106.47470,30,AS-T   ,WR ,21, ,    IP 
2,Alberta        ,Little Boy             ,1945,AUG,5,-JP    ,34.39140,132.45810,580,A-AD   ,C  ,15, ,       
3,Alberta        ,Fat Man                ,1945,AUG,9,-JP    ,32.77020,129.86570,503,A-AD   ,C  ,21, ,       
4,Crossroads     ,Able                   ,1946,JUN,30,BK     ,11.58000,165.50000,158,A-AD   ,WE ,21, ,    IP 
5,Crossroads     ,Baker                  ,1946,JUL,24,BK     ,11.58330,165.50000,-27,UW     ,WE ,21, ,    IP 
6,Sandstone      ,X-ray                  ,1948,APR,14,EN     ,11.67000,162.24000,60,AS-T   ,WR ,37, ,       
7,Sandstone      ,Yoke                   ,1948,APR,30,EN     ,11.62000,162.33000,60,AS-T   ,WR ,49, ,       
8,Sandstone      ,Zebra                  ,1948,MAY,14,EN     ,11.56000,162.35000,60,AS-T   ,WR ,18, ,       
9,Ranger         ,Able                   ,1951,JAN,27,NTS-FF ,36.80000,-115.95000,320,A-AD   ,WR ,1, ,       
10,Ranger         ,Baker                  ,1951,JAN,28,NTS-FF ,36.80000,-115.95000,330,A-AD   ,WR ,8, ,       
11,Ranger         ,Easy                   ,1951,FEB,1,NTS-FF ,36.80000,-115.95000,330,A-AD   ,WR ,1, ,       
12,Ranger         ,Baker-2                ,1951,FEB,2,NTS-FF ,36.80000,-115.95000,340,A-AD   ,WR ,8, ,       
13,Ranger         ,Fox                    ,1951,FEB,6,NTS-FF ,36.80000,-115.95000,440,A-AD   ,WR ,22, ,       
14,Greenhouse     ,Dog                    ,1951,APR,7,EN     ,11.55580,162.35440,91,AS-T   ,WR ,81, ,       
15,Greenhouse     ,Easy                   ,1951,APR,20,EN     ,11.66890,162.24030,91,AS-T   ,WR ,47, ,       
16,Greenhouse     ,George                 ,1951,MAY,8,EN     ,11.62690,162.31470,62,AS-T   ,WR ,225, ,       
17,Greenhouse     ,Item                   ,1951,MAY,24,EN     ,11.67300,162.24860,62,AS-T   ,WR ,45.5, ,    BF 
18,Buster         ,Able                   ,1951,OCT,22,NTS-YF ,37.08390,-116.02390,30,AS-T   ,WR ,0.05, ,       
19,Buster         ,Baker                  ,1951,OCT,28,NTS-YF ,37.08500,-116.02000,340,A-AD   ,WR ,3.5, ,       
20,Buster         ,Charlie                ,1951,OCT,30,NTS-YF ,37.08500,-116.02030,350,A-AD   ,WR ,14, ,       
21,Buster         ,Dog                    ,1951,NOV,1,NTS-YF ,37.08470,-116.01970,430,A-AD   ,WR ,21, ,       
22,Buster         ,Easy                   ,1951,NOV,5,NTS-YF ,37.09190,-116.02440,400,A-AD   ,WR ,31, ,       
23,Jangle         ,Sugar                  ,1951,NOV,19,NTS-YF ,37.13170,-116.03860,1.1,AS     ,WE ,1.2, ,       
24,Jangle         ,Uncle                  ,1951,NOV,29,NTS-YF ,37.16970,-116.04250,-10,CR     ,WE ,1.2, ,       
25,Tumbler        ,Able                   ,1952,APR,1,NTS-FF ,36.79830,-115.93560,240,A-AD   ,WE ,1, ,       
26,Tumbler        ,Baker                  ,1952,APR,15,NTS-YF ,37.08420,-116.01940,340,A-AD   ,WE ,1, ,       
27,Tumbler        ,Charlie                ,1952,APR,22,NTS-YF ,37.08440,-116.02030,1050,A-AD   ,WR ,31, ,       
28,Snapper        ,Dog                    ,1952,MAY,1,NTS-YF ,37.08420,-116.02030,320,A-AD   ,WR ,19, ,       
29,Snapper        ,Easy                   ,1952,MAY,7,NTS-YF ,37.05310,-116.10560,90,AS-T   ,WR ,12, ,       
30,Snapper        ,Fox                    ,1952,MAY,25,NTS-YF ,37.09560,-116.10560,90,AS-T   ,WR ,11, ,       
31,Snapper        ,George                 ,1952,JUN,1,NTS-YF ,37.04810,-116.02110,90,AS-T   ,WR ,15, ,       
32,Snapper        ,How                    ,1952,JUN,5,NTS-YF ,37.13860,-116.11780,90,AS-T   ,WR ,14, ,       
33,Ivy            ,Ivy Mike,1952,OCT,31,EN     ,11.23720,162.19640,10,AS     ,WR ,10400, ,    TN 
34,Ivy            ,King                   ,1952,NOV,15,EN     ,11.56220,162.35250,450,A-AD   ,WR ,500, ,    FS 
35,Upshot-Knothole,Annie                  ,1953,MAR,17,NTS-YF ,37.04780,-116.02110,90,AS-T   ,WR ,16, ,       
36,Upshot-Knothole,Nancy                  ,1953,MAR,24,NTS-YF ,37.09560,-116.10280,90,AS-T   ,WR ,24, ,       
37,Upshot-Knothole,Ruth                   ,1953,MAR,31,NTS-YF ,37.08280,-116.02390,90,AS-T   ,WR ,0.2, ,       
38,Upshot-Knothole,Dixie                  ,1953,APR,6,NTS-YF ,37.08470,-116.01800,1830,A-AD   ,WR ,11, ,       
39,Upshot-Knothole,Ray                    ,1953,APR,11,NTS-YF ,37.09890,-116.09250,30,AS-T   ,WR ,0.2, ,       
40,Upshot-Knothole,Badger                 ,1953,APR,18,NTS-YF ,37.13830,-116.11780,90,AS-T   ,WR ,23, ,       
41,Upshot-Knothole,Simon                  ,1953,APR,25,NTS-YF ,37.05310,-116.10280,90,AS-T   ,WR ,43, ,       
42,Upshot-Knothole,Encore                 ,1953,MAY,8,NTS-FF ,36.80000,-115.92890,740,A-AD   ,WE ,27, ,       
43,Upshot-Knothole,Harry                  ,1953,MAY,19,NTS-YF ,37.04030,-116.02530,90,AS-T   ,WR ,32, ,       
44,Upshot-Knothole,Grable                 ,1953,MAY,25,NTS-FF ,36.79310,-115.91470,160,A      ,WR ,15, ,       
