ID#,SERIES,NAME,YEAR,MON,DAY,SITE,LAT,LONG,HOB,TYPE,PUR,YIELD,VENT,DEVIC
1,1949,1 Pervaya Molniya (Joe,1949,AUG,29,STS-GZ,50.44,77.82,30,AS-T,WR,22,,IP
2,1950, X,1950,,,STS,50,78,,AS-T,,0,,ND
3,1951,2 Vtoraya Molniya (Joe,1951,SEP,24,STS,50,78,30,AS-T,WR,38.3,,IP
4,1951,3 (Joe 3) ,1951,OCT,18,STS,50,78,380,A-AD,WR,42,,IC
5,1953,4 (Joe 4) ,1953,AUG,12,STS,50,78,30,AS-T,WR,400,,
6,1953,5 (Joe 5) ,1953,AUG,23,STS,50,78,600,A-AD,WR,28,,IC?
7,1953,6 (Joe 6?) ,1953,SEP,3,STS,50,78,255,A,WR,5.8,,
8,1953,7 ,1953,SEP,8,STS,50,78,220,A,WR,1.6,,
9,1953,8 (Joe 7?) ,1953,SEP,10,STS,50,78,220,A,WR,4.9,,
10,1954,9 (Joe 8?) ,1954,SEP,14,-RU-O,52.6,52.84,350,A-AD,ME,40,,IC
11,1954,10 ,1954,SEP,29,STS,50,78,210,A,WR,0.2,,
12,1954,11 ,1954,OCT,1,STS,50,78,105,A,WR,0.03,,
13,1954,12 (Joe 9?) ,1954,OCT,3,STS,50,78,130,A,WR,2,,
14,1954,13 (Joe 10?) ,1954,OCT,5,STS,50,78,0,AS,WR,4,,
15,1954,14 (Joe 11?) ,1954,OCT,8,STS,50,78,295,A,WR,0.8,,
16,1954,15 ,1954,OCT,19,STS,50,78,15,AS-T,WR,0.001,,FZ
17,1954,16 (Joe 12?) ,1954,OCT,23,STS,50,78,410,A,WR,62,,IC
18,1954,17 (Joe 13?) ,1954,OCT,26,STS,50,78,110,A,WR,2.8,,
19,1954,18 (Joe 14?) ,1954,OCT,30,STS,50,78,55,AS-AD,WR,10,,
20,1955, X,1955,FEB,20,,,,,A-R,,0,,FZ
21,1955,19 (Joe 15) ,1955,JUL,29,STS,50,78,2.5,AS,WR,1.3,,IP
22,1955,20 (Joe 16) ,1955,AUG,2,STS,50,78,2.5,AS,WR,12,,IP
23,1955,21 ,1955,AUG,5,STS,50,78,1.5,AS,WR,1.2,,IP
